,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
57,insightsRiskFeatures__spendingDistribution__trend(10000 to 20000),0.0026019838872484557,0.4789405645360813,7.648755708667101e-05,-5.2332131774041806e-05,7.648755708667101e-05,5.2332131774041806e-05,0.0,0.0
49,insightsRiskFeatures__spendingDistribution__trend(-200 to -100),0.002763279376841961,0.7988891996301591,0.0002040975115383463,-0.0001158967399112384,0.0002040975115383463,0.0001158967399112384,0.0,0.0
68,insightsRiskFeatures__transactionStats__sumAmounts3M,0.002803491113140398,12777.059493368855,-0.0005187427941928397,0.0018643187362676972,0.0005187427941928397,0.0018643187362676972,0.0,0.0
78,insightsRiskFeatures__transactionStats__numUniqueOutTrns3M,0.002817983283595683,85.98643039666833,0.00015356618695737932,-0.0004267862039371173,0.00015356618695737932,0.0004267862039371173,0.0,0.0
19,first180d_new_cat__mac__[Alcohol]_outgoing_count,0.002833475945277297,6.751179878409055,-0.00021125255570416648,0.0014209762867132708,0.00021125255570416648,0.0014209762867132708,0.0,0.0
81,insightsRiskFeatures__transactionStats__sumAmounts1M,0.002854913597140637,14929.81479392463,-0.0012431111594902692,0.0012903597240229232,0.0012431111594902692,0.0012903597240229232,0.0,0.0
98,insightsRiskFeatures__monthlyPaymentVariance__maxStdTiming,0.0028576053433982743,0.14342365856620518,-7.071706813807231e-05,0.0,7.071706813807231e-05,0.0,0.0,0.0
54,insightsRiskFeatures__spendingDistribution__lastMonthSum(-5000 to -2000),0.0029134384377681,10769.289559345041,-0.0003899305873276852,0.0005014525666764452,0.0003899305873276852,0.0005014525666764452,0.0,0.0
25,insightsRiskFeatures__accountActivity__activityInc1W,0.002969421421484915,0.12064406320794673,0.00028172221331175876,-0.00013186254783302648,0.00028172221331175876,0.00013186254783302648,0.0,0.0
88,insightsRiskFeatures__gamblingVsIncome__sumGambling6M,0.003121401109363494,25339.06196991014,0.0,0.0001884820956506669,0.0,0.0001884820956506669,0.0,0.0
5,first30d_new_cat__mac__[McDonalds]_outgoing_count,0.0031257503201517,0.9369119394967346,0.0,0.0,0.0,0.0,0.0,0.0
85,insightsRiskFeatures__transactionStats__maxOutAmount6M,0.003127328323433811,34204.14211392391,-0.0007597080184138853,0.0010552845512659802,0.0007597080184138853,0.0010552845512659802,0.0,0.0
7,first90d_new_cat__mac__[Circle-K]_outgoing_sum,0.0031811751622546187,1037.3186610823125,0.0,-0.00029202238644905783,0.0,0.00029202238644905783,0.0,0.0
43,insightsRiskFeatures__loans__repaymentLoanRatio3M,0.0031968464413039714,35.0079259900899,0.00032040582096329084,-0.0003990306361215087,0.00032040582096329084,0.0003990306361215087,0.0,0.0
27,insightsRiskFeatures__accountActivity__activity1M,0.0032220329641270465,0.08381250309668299,0.00011192518168812087,-9.207990169889465e-05,0.00011192518168812087,9.207990169889465e-05,0.0,0.0
56,insightsRiskFeatures__spendingDistribution__lastMonthSum(2000 to 5000),0.003255700965922874,6084.695579734935,0.0009654615131294806,-0.0007873838251830521,0.0009654615131294806,0.0007873838251830521,0.0,0.0
22,insightsRiskFeatures__cashFlow__negativeCashflow3M,0.0032769387024881797,120244.37419815786,0.0,0.0006426730710767459,0.0,0.0006426730710767459,0.0,0.0
67,insightsRiskFeatures__transactionStats__numUniqueTrns3M,0.003331558112401908,96.50276649727876,6.866989459208796e-05,0.0,6.866989459208796e-05,0.0,0.0,0.0
9,first90d_new_cat__mac__[LIDL]_outgoing_sum,0.0033603834392538687,436.0021146687768,0.0003483460814488176,-0.00028401582242208674,0.0003483460814488176,0.00028401582242208674,0.0,0.0
18,first180d_new_cat__nk__[mostly collection but not only]_outgoing_sum,0.0034336637475308593,4843.558562386751,-0.0004661756935351685,5.889057067920669e-05,0.0004661756935351685,5.889057067920669e-05,0.0,0.0
76,insightsRiskFeatures__transactionStats__maxIncAmount3M,0.0035084554348267854,30081.392428262745,0.0001239260369420073,0.0,0.0001239260369420073,0.0,0.0,0.0
59,insightsRiskFeatures__balances__meanBalance6M,0.0035280474197967367,14003.647923101857,-0.000420585466734261,0.003967420890933259,0.000420585466734261,0.003967420890933259,0.0,0.0
6,first90d_new_cat__mac__[Byggnads]_outgoing_sum,0.0036913906684062953,192.06068935933502,0.0,0.0,0.0,0.0,0.0,0.0
20,first180d_new_cat__mac__[Hypermat]_outgoing_count,0.0036975166606491305,0.07443222116504153,0.0,0.0,0.0,0.0,0.0,0.0
73,insightsRiskFeatures__transactionStats__numTrns3M,0.003709171116774372,167.77144359049575,-0.0005655521646302044,0.00177181440961887,0.0005655521646302044,0.00177181440961887,0.0,0.0
86,insightsRiskFeatures__transactionStats__numIncTrns6M,0.0037310626979160056,89.53781776550775,-0.00026721246157547117,0.000506937100432499,0.00030996271314971197,0.000506937100432499,0.0,0.0
35,insightsRiskFeatures__accountActivity__activity6M,0.003877959584914369,0.06733082670658272,5.3830193321664976e-05,-0.000146305774607044,5.3830193321664976e-05,0.000146305774607044,0.0,0.0
36,insightsRiskFeatures__collections__sumCollections3M,0.003884812922864806,2938.061457061859,-0.00019900185515071608,0.0005444526396703392,0.00019900185515071608,0.0005444526396703392,0.0,0.0
82,insightsRiskFeatures__transactionStats__numUniqueTrns1M,0.0039335239232950675,35.325034989296796,0.004930074542386117,-0.0004926338804944735,0.004930074542386117,0.0004926338804944735,0.0,0.0
70,insightsRiskFeatures__transactionStats__meanAmount1W,0.004034286230577972,400.67085486020954,-0.0005394698295432484,0.002872111909420749,0.0005394698295432484,0.002872111909420749,0.0,0.0
